TDryBul;oveHeaPumY_u;reaTZon_y;logistic(oveHeaPumY_u);reaPHeaPum_y
273.15;0.237386656;292.7537521;1;1525.394082
273.0908333;0.359535924;292.7213689;1;1752.203915
272.95;0.489744413;292.7262535;1;1998.519344
272.92375;0.616624137;292.7738811;1;2247.493435
272.95;0.727078437;292.8609571;1;2473.613918
273.0919643;0.809437507;292.9850787;1;2653.755541
273.25;0.852707803;293.1315528;1;2759.909891
273.297619;0.850918244;293.2820964;1;2771.020747
273.35;0.803762151;293.4223965;1;2685.428607
273.5266667;0.715028181;293.5405138;1;2512.869038
273.85;0.591968161;293.6263283;1;2268.964635
274.3;0.444778938;293.6789267;1;1975.503781
274.75;0.283470993;293.6868227;1;1653.242097
275.1542857;0.122029379;293.6387903;1;1333.171715
275.55;0;293.5132651;0.006692851;0
275.9482143;0;293.2738827;0.006692851;0
276.25;0;293.0749384;0.006692851;0
276.33;0.732465693;293.0191423;1;2556.529598
276.35;1;293.1417724;1;3149.639365
276.4283333;1;293.3516982;1;3185.847717
276.55;1;293.588678;1;3216.544906
276.8041667;1;293.8366958;1;3248.057063
277.15;1;294.1174006;1;3280.890017
277.5303571;1;294.469692;1;3314.274967
277.95;1;294.8596287;1;3349.78108
278.6071429;1;295.2621884;1;3395.041692
279.15;0.946215491;295.6531976;1;3307.552436
279.1769231;0.77570575;295.9712433;1;2904.464723
279.15;0.513430466;296.1458572;1;2275.486687
279.2605769;0.205942597;296.1752255;1;1558.468447
279.35;0;296.0344426;0.006692851;0
279.4;0;295.7685572;0.006692851;0
279.45;0;295.4963619;0.006692851;0
279.5;0;295.2870296;0.006692851;0
279.55;0;295.0748278;0.006692851;0
279.65;0.033161747;294.8687733;0.999990657;1164.705645
279.75;0.127832489;294.7339671;1;1364.552805
279.509375;0;294.5827386;0.006692851;0
279.25;0;294.3844887;0.006692851;0
279.278125;0;294.1965915;0.006692851;0
279.35;0;294.0224645;0.006692851;0
279.45;0;293.9276448;0.006692851;0
279.55;0;293.7934233;0.006692851;0
279.65;0;293.6638354;0.006692851;0
279.75;0;293.5405799;0.006692851;0
279.8175;0;293.4244842;0.006692851;0
279.85;0;293.3127969;0.006692851;0
279.8533333;0;293.2052736;0.006692851;0
279.75;0;293.0982546;0.006692851;0
279.5222222;0.020874583;293.0443451;0.995667599;1136.409158
279.25;0.055266525;292.9983855;1;1204.403332
278.9256944;0.10304886;292.9536652;1;1298.459601
278.65;0.164185301;292.9257629;1;1419.114959
278.575;0.232851548;292.9323454;1;1557.159065
278.55;0.297818789;292.9758115;1;1690.594692
278.4505682;0.347902023;293.0415449;1;1795.105324
278.35;0.37715188;293.1197164;1;1858.02086
278.5;0.382328401;293.2099464;1;1874.849028
278.65;0.359832981;293.3040816;1;1833.627949
278.2931818;0.308901726;293.367142;1;1725.266074
277.95;0.240606111;293.3888208;1;1581.342893
277.9;0.167875934;293.3851324;1;1432.322233
277.85;0.097520645;293.35015;1;1289.457236
277.8;0.039224779;293.2194675;0.999999549;1172.47879
277.75;0.024918646;293.1121867;0.999424286;1143.831244
277.540625;0.741626664;293.0959147;1;2603.338823
277.35;1;293.2502854;1;3183.961487
277.3739583;1;293.4899028;1;3221.0399
277.45;1;293.745484;1;3252.619404
277.5604167;1;294.0165381;1;3281.200307
277.65;1;294.2939477;1;3306.164813
277.7;1;294.5564005;1;3327.208467
277.75;1;294.8026319;1;3346.259166
277.8;1;295.0364897;1;3363.648671
277.85;1;295.2591621;1;3379.638391
277.8770833;0.956117752;295.4652873;1;3289.020228
277.75;0.851225313;295.6389387;1;3039.529266
276.6322917;0.695861144;295.7319794;1;2643.372247
275.15;0.516615285;295.7105253;1;2200.258273
274.1588942;0.349530389;295.6116691;1;1817.682608
273.55;0.215972471;295.4489995;1;1528.858551
273.4215745;0.134406087;295.2523701;1;1359.973066
273.45;0.113526543;295.0457892;1;1316.137366
273.5429688;0.155118823;294.8370455;1;1395.603161
273.65;0.259442357;294.6670271;1;1598.537652
273.8130208;0;294.4788508;0.006692851;0
273.95;0;294.2495966;0.006692851;0
273.8791667;0;294.0125817;0.006692851;0
273.75;0;293.7739697;0.006692851;0
273.7625;0;293.6148578;0.006692851;0
273.75;0;293.4220787;0.006692851;0
273.5473684;0;293.2314541;0.006692851;0
273.25;0;293.0378364;0.006692851;0
272.8251316;0.043329975;292.9104261;0.999999942;1171.747358
272.45;0.121572665;292.8027572;1;1309.510369
272.7091667;0.23112894;292.7317192;1;1507.334746
273.05;0.360165082;292.7168702;1;1748.374754
272.9948958;0.490846488;292.7409541;1;1996.229123
272.95;0.612356072;292.8098356;1;2234.473531
272.9505208;0.710961313;292.9087129;1;2436.671089
272.95;0.778403563;293.0268961;1;2582.721845
272.9;0.809425583;293.1538285;1;2656.81457
272.85;0.801930409;293.2852997;1;2652.010362
273.0604167;0.75476695;293.4030945;1;2570.010582
273.25;0.672948857;293.510676;1;2413.76226
273.2;0.559366992;293.5772717;1;2185.087754
273.15;0.427855678;293.5952974;1;1920.981082
273.1;0.293365187;293.5670944;1;1654.412542
273.05;0.169647013;293.4925491;1;1413.955579
273.4275;0.070609562;293.383281;1;1226.69657
273.85;0.006088672;293.2584202;0.123937069;1106.12921
273.8683333;0;293.0369995;0.006692851;0
273.85;0.044971181;292.8599126;0.999999975;1177.195901
273.8083333;0.840851743;292.8022165;1;2702.672528
273.75;1;292.9024831;1;3051.297829
273.4358333;1;293.0609129;1;3069.060347
273.25;1;293.2256781;1;3083.124739
273.5339583;1;293.4148533;1;3109.513478
273.85;1;293.6198102;1;3135.866949
274.0989583;1;293.8718536;1;3159.136584
274.35;1;294.2247996;1;3182.695562
274.65;1;294.6624486;1;3209.507002
274.95;1;295.1518249;1;3239.009724
275.0280449;0.974983727;295.6782453;1;3208.528399
275.05;0.79018912;296.144369;1;2805.757753
275.382967;0.468572225;296.4594789;1;2099.758283
275.65;0.059973072;296.5756451;1;1220.443887
275.5903361;0;296.4957146;0.006692851;0
275.45;0;296.3202249;0.006692851;0
275.2793067;0;296.1251386;0.006692851;0
275.05;0;295.8374013;0.006692851;0
274.4064286;0;295.3673572;0.006692851;0
273.75;0;294.9595762;0.006692851;0
273.5757143;0;294.6280374;0.006692851;0
273.65;0;294.3452498;0.006692851;0
273.9107143;0;294.1016287;0.006692851;0
274.15;0;293.8872609;0.006692851;0
274.2994048;0;293.7501581;0.006692851;0
274.45;0;293.5767881;0.006692851;0
274.6583333;0;293.4155045;0.006692851;0
274.85;0;293.2649549;0.006692851;0
274.8770833;0;293.1179969;0.006692851;0
274.85;0.016948824;293.068762;0.969950878;1126.006362
274.95625;0.043781958;293.0197742;0.999999954;1175.299632
275.05;0.085299085;292.9594836;1;1252.04483
274.58125;0.145468553;292.8968052;1;1361.693208
274.05;0.224560911;292.8400994;1;1505.160761
274.0642045;0.320366388;292.8280374;1;1685.295716
274.05;0.417558271;292.854996;1;1872.3462
273.85;0.504711527;292.9032848;1;2041.818611
273.65;0.57631164;292.9684019;1;2184.224904
273.4482955;0.627535214;293.0519642;1;2288.747579
273.35;0.652767857;293.1452564;1;2344.59277
273.515;0.64952634;293.2468465;1;2348.810574
273.75;0.615392867;293.3483599;1;2291.189431
273.9225;0.550809219;293.4321535;1;2168.447391
274.05;0.461973479;293.4871131;1;1994.030283
274.05625;0.358091586;293.5057411;1;1787.332244
274.05;0.250437839;293.4826022;1;1574.700363
274.1;0.151814127;293.4216448;1;1382.949542
274.15;0.07336856;293.3265208;1;1232.710027
274.2;0.725168523;293.2876185;1;2505.119838
274.25;1;293.3834604;1;3093.303442
274.334375;1;293.5566594;1;3123.210316
274.45;1;293.7535208;1;3148.343604
274.596875;1;293.9570944;1;3171.332472
274.75;1;294.1641452;1;3192.568588
274.8125;1;294.3697295;1;3209.244433
274.75;1;294.5617437;1;3220.087765
274.5416667;1;294.7362395;1;3224.375706
274.25;1;294.8948376;1;3224.024373
273.8074405;1;295.0312171;1;3217.320375
273.45;1;295.1451863;1;3211.158874
273.6477679;0.995745664;295.2571317;1;3215.047995
273.95;0.958008867;295.366884;1;3145.444555
273.990625;0.887456045;295.4617083;1;2991.119694
274.05;0.789202339;295.5334671;1;2773.075099
274.25625;0.670574284;295.5726351;1;2512.945977
274.45;0.541825369;295.5712394;1;2231.526077
274.4375;0.415523347;295.509711;1;1955.212671
274.45;0.310686479;295.4136595;1;1729.594674
274.6;0;295.2372195;0.006692851;0
274.75;0;294.9837623;0.006692851;0
274.9;0;294.7260853;0.006692851;0
275.05;0;294.4830561;0.006692851;0
275.0388889;0;294.2545392;0.006692851;0
274.95;0;294.0370116;0.006692851;0
275.0039683;0;293.8351845;0.006692851;0
275.05;0;293.6460686;0.006692851;0
274.8633929;0;293.4645272;0.006692851;0
274.65;0;293.2867148;0.006692851;0
274.7208333;0;293.1256553;0.006692851;0
274.75;0.015356393;293.0630172;0.935727744;1123.060611
274.5708333;0.044583142;292.9887172;0.999999969;1176.317435
274.35;0.096682971;292.894225;1;1271.072867
274.1;0.178140069;292.8259384;1;1419.62933
273.85;0.278772867;292.7947998;1;1604.794808
273.61875;0.386889868;292.7955891;1;1806.888915
273.45;0.493173656;292.8287782;1;2010.467556
273.4458333;0.587880754;292.8893616;1;2199.599499
273.55;0.663043087;292.975244;1;2358.058925
273.6778846;0.711175767;293.0872475;1;2467.1753
273.85;0.72440135;293.216019;1;2508.350921
274.2658654;0.698157065;293.348643;1;2473.310549
274.65;0.631932973;293.4749095;1;2352.587622
274.50625;0.528146796;293.5624376;1;2140.526889
274.35;0.400039112;293.5972497;1;1878.741942
274.45;0.264123602;293.5881896;1;1607.725605
274.55;0.13311973;293.5286074;1;1350.44864
274.65;0.02251663;293.4237036;0.998089189;1137.533216
274.75;0;293.2740249;0.006692851;0
274.7666667;0;293.0884145;0.006692851;0
274.75;0.027756182;292.9325482;0.999860609;1146.264152
274.795;0.100785032;292.8222509;1;1281.829215
274.85;0.204624617;292.7591428;1;1476.609911
274.9462879;0.325037197;292.7555956;1;1707.358359
275.05;0.443535892;292.8010344;1;1941.396102
274.4756993;0.545953627;292.8657337;1;2139.539702
273.85;0.627998551;292.9344776;1;2296.887991
274.3;0.689218086;293.0581993;1;2437.712686
274.75;0.710572194;293.2224898;1;2502.860067
274.5663462;0.68061073;293.3674496;1;2446.376661
274.45;0.608127875;293.4858365;1;2300.441177
274.55;0.50145759;293.5895316;1;2086.75655
274.65;0.364413361;293.6632722;1;1810.950859
274.75;0.206744674;293.6922481;1;1496.822163
274.85;0.042621456;293.6506323;0.999999918;1176.547618
274.6788462;0;293.4600358;0.006692851;0
274.45;0;293.2209165;0.006692851;0
274.6661538;0;293.0004271;0.006692851;0
274.85;0.055896336;292.8495012;1;1198.567377
274.6925;0.15359228;292.7417394;1;1379.800098
274.55;0.281458553;292.6752537;1;1619.479212
274.5;0.427206715;292.6619097;1;1899.556973
274.45;0.57430102;292.7040539;1;2191.20065
274.4259615;0.70597764;292.7979357;1;2463.047654
274.35;0.806902851;292.9268382;1;2680.413587
274.1615385;0.867406256;293.0761167;1;2816.158789
273.95;0.882107332;293.2206211;1;2855.989658
273.75;0.853695797;293.362723;1;2803.194463
273.55;0.782773788;293.4887731;1;2657.844801
273.5333333;0.674839354;293.5847391;1;2436.959897
273.55;0.539619329;293.6401598;1;2160.150757
273.3866667;0.389800362;293.6353003;1;1853.583481
273.15;0.244453252;293.5732761;1;1562.20915
272.8514286;0.120571616;293.4573598;1;1320.771388
272.55;0.034159481;293.297721;0.999994327;1157.595003
272.2754464;0;293.0904609;0.006692851;0
272.05;0.028224727;292.8834035;0.999889718;1145.185945
272.040625;0.118556554;292.7151579;1;1306.195631
272.05;0.257421446;292.5926242;1;1556.302754
271.9;0.430760871;292.5233152;1;1873.369349
271.75;0.622231776;292.5166147;1;2233.697507
271.6;0.812582405;292.5681766;1;2605.265663
271.45;0.984551315;292.6598077;1;2955.400426
271.4335938;1;292.7260487;1;3002.700134
271.45;1;292.8529509;1;3019.019848
270.9451563;1;292.966275;1;3017.099075
270.55;1;293.0561316;1;3013.761469
270.7263636;1;293.1527058;1;3026.782369
270.95;0.994359552;293.2620213;1;3031.447229
271.1873864;0.955287395;293.4043785;1;2964.849132
271.45;0.871855978;293.605473;1;2805.504122
272.1575;0.725159355;293.9096503;1;2524.350943
272.85;0.482055403;294.1391936;1;2043.464593
272.8638889;0.173820143;294.0977458;1;1429.457697
272.85;0;293.9533546;0.006692851;0
273.1277778;0;293.7927885;0.006692851;0
273.35;0;293.5940898;0.006692851;0
273.4037879;0;293.359648;0.006692851;0
273.45;0;293.1364412;0.006692851;0
273.6295455;0.015227976;293.0024757;0.931756416;1122.563642
273.65;0.066183557;292.9052485;1;1215.207767
273.4;0.144470373;292.8074669;1;1356.9467
273.15;0.252119391;292.7160323;1;1552.969118
272.875;0.386881418;292.6122761;1;1801.442656
272.65;0.553386388;292.5696838;1;2115.74418
272.575;0.729610851;292.5969733;1;2462.046877
272.55;0.894154377;292.6853;1;2800.862362
272.5;1;292.8162993;1;3030.698287
272.45;1;292.9663481;1;3048.663348
272.4;1;293.1765963;1;3063.094494
272.35;0.981508717;293.3362585;1;3038.523234
272.3;0.917648038;293.4695846;1;2913.860196
272.25;0.815106359;293.5694119;1;2705.126458
272.2333333;0.684291427;293.6342569;1;2437.155567
272.25;0.535772097;293.6562928;1;2135.128372
272.3041667;0.382782473;293.62993;1;1828.821931
272.35;0.240121606;293.5566021;1;1548.724865
272.3;0.121807385;293.4351052;1;1321.357079
272.25;0.042350663;293.276209;0.999999906;1172.392824
272.25;0.012432762;293.0992678;0.771426046;1117.324671
272.25;0.036499477;292.9225427;0.999998239;1160.448018
272.25;0.113572924;292.7664566;1;1298.661546
272.25;0.236440233;292.6501013;1;1520.728146
272.2875;0.392227611;292.5822862;1;1808.068464
272.35;0.56593249;292.572155;1;2138.760465
272.4;0.739792549;292.6216805;1;2482.916659
272.45;0.895812115;292.7251883;1;2806.623083
272.5625;1;292.8699284;1;3037.568286
272.65;1;293.0365126;1;3059.764854
272.4785714;1;293.1986341;1;3070.568822
272.25;0.977303697;293.3412629;1;3030.631134
272.1401786;0.9127934;293.4022065;1;2901.679394
272.05;0.834084255;293.4781311;1;2740.452037
271.98125;1;293.5496172;1;3085.414686
271.95;1;293.6350194;1;3093.208995
271.975;1;293.7279283;1;3101.003502
272.05;1;293.8326891;1;3109.497214
272.15;1;293.9385927;1;3118.395537
272.25;1;294.0322802;1;3127.025189
272.35;1;294.1331424;1;3135.422179
272.45;1;294.2414203;1;3143.651534
272.43;1;294.3491763;1;3148.121379
272.35;1;294.453462;1;3149.894331
272.3366667;1;294.5565725;1;3153.493389
272.35;1;294.6589057;1;3157.778915
272.45;1;294.752833;1;3164.710085
272.55;1;294.8372738;1;3171.995272
272.5520833;1;294.9176928;1;3175.968465
272.55;1;294.9923496;1;3179.359762
272.61875;1;295.0666659;1;3184.789198
272.65;1;295.1375816;1;3189.217013
272.6;1;295.1801982;1;3190.560386
272.55;0.988809708;295.2263178;1;3168.688336
272.5;0.263608386;295.1954938;1;1622.984787
272.45;0;294.9915917;0.006692851;0
272.3875;0;294.6937063;0.006692851;0
272.35;0;294.385603;0.006692851;0
272.35;0;294.1535521;0.006692851;0
272.35;0;293.8977775;0.006692851;0
272.35;0;293.6543105;0.006692851;0
272.35;0;293.4237178;0.006692851;0
272.4125;0;293.2070552;0.006692851;0
272.45;0;293.0014862;0.006692851;0
272.4;0.054832589;292.9097689;1;1192.312728
272.35;0.131487801;292.8346253;1;1328.23343
272.3;0.229857378;292.7672209;1;1504.45565
272.25;0.348061318;292.7294158;1;1719.906447
272.24375;0.476126838;292.7293114;1;1959.599423
272.25;0.602338638;292.769261;1;2203.604715
272.2;0.714562844;292.845656;1;2427.547893
272.15;0.80204629;292.9545573;1;2609.426837
272.15;0.855234045;293.0828558;1;2728.414414
272.15;0.868962387;293.2164121;1;2769.121257
272.09375;0.842360933;293.3436136;1;2724.847841
272.05;0.777916787;293.4521902;1;2600.875585
272.05;0.681830894;293.533621;1;2411.244796
272.05;0.562673039;293.5789622;1;2174.205744
272.05;0.431717322;293.5823752;1;1915.07893
272.05;0.301834115;293.5416887;1;1661.531578
272.00625;0.186361841;293.3995888;1;1439.950762
271.95;0.118590181;293.2687119;1;1311.686903
271.99375;0.789520458;293.1951062;1;2589.075223
272.05;1;293.2423939;1;3028.811191
272;1;293.3529751;1;3047.480058
271.85;1;293.4787224;1;3058.05107
271.5583333;1;293.5978704;1;3061.221667
271.25;1;293.705109;1;3061.184334
271.0322917;1;293.8119807;1;3062.225455
270.95;1;293.92445;1;3066.052181
271.0239583;1;294.0587082;1;3074.290704
271.15;1;294.1989778;1;3084.155423
271.3020833;1;294.3355555;1;3094.922515
271.45;1;294.4635261;1;3105.637195
271.5666667;1;294.5894878;1;3115.310195
271.65;1;294.7164538;1;3123.748555
271.6616667;1;294.8361329;1;3129.739998
271.65;1;294.9434845;1;3134.426107
271.7522222;1;295.0497458;1;3142.269649
271.85;1;295.1417602;1;3150.263282
271.5402778;0.997871213;295.1432004;1;3142.808103
271.25;0.999839083;295.1337466;1;3137.799067
271.3;0.305187782;295.077127;1;1693.486448
271.35;0;294.8709154;0.006692851;0
271.4;0;294.5713443;0.006692851;0
271.45;0;294.2639122;0.006692851;0
271.3625;0;294.0237093;0.006692851;0
271.25;0;293.7497165;0.006692851;0
271.3625;0;293.4989103;0.006692851;0
271.45;0;293.270953;0.006692851;0
271.4;0;293.0532049;0.006692851;0
271.35;0.039925923;292.9387285;0.999999683;1164.656007
271.3;0.109031203;292.8415409;1;1285.010854
271.25;0.206428323;292.7540273;1;1455.962394
271.0275;0.329595817;292.6870865;1;1673.946481
270.85;0.471816923;292.6565776;1;1930.718157
271.0322222;0.621369097;292.6806506;1;2214.451417
271.25;0.760970263;292.7545739;1;2492.53798
271.3402778;0.875901914;292.8648083;1;2731.159393
271.45;0.955947689;293.0049341;1;2909.025682
271.6;0.992461188;293.1596025;1;3004.437336
271.75;0.981847002;293.3158812;1;3003.39871
271.9;0.924268715;293.46308;1;2902.225452
272.05;0.822984766;293.5872819;1;2706.271316
272.3041667;0.685590113;293.6782465;1;2434.781968
272.65;0.522567948;293.7295729;1;2111.500314
273.0833333;0.346129749;293.7317667;1;1763.601729
273.45;0.171490041;293.6776813;1;1422.729732
273.565625;0.015889921;293.5028816;0.950024766;1124.703341
273.65;0;293.312297;0.006692851;0
273.7885417;0.66084014;293.1942987;1;2365.257701
273.95;1;293.2376517;1;3078.744275
274.175;1;293.3818699;1;3113.315196
274.45;1;293.5630126;1;3143.625106
274.7958333;1;293.7583052;1;3173.340628
275.15;1;293.9630426;1;3201.962406
275.3675;1;294.169427;1;3224.760797
275.45;1;294.3705443;1;3241.454239
275.2807143;1;294.5558794;1;3248.135366
275.15;1;294.7253857;1;3253.521775
275.2799107;1;294.8885561;1;3267.313269
275.45;1;295.0405595;1;3282.187048
275.621875;1;295.1929478;1;3296.855176
275.85;0.979496236;295.3453776;1;3267.083374
276.15;0.913261461;295.4847009;1;3128.121033
276.45;0.805885029;295.5980952;1;2888.9575
276.75;0.665786769;295.6795821;1;2570.892497
277.05;0.502837793;295.7149123;1;2200.688707
277.35;0.331597596;295.6713863;1;1815.966223
277.65;0.17735802;295.5720978;1;1475.691177
277.91;0;295.3815968;0.006692851;0
278.15;0;295.1253088;0.006692851;0
278.415;0;294.8763657;0.006692851;0
278.75;0;294.6498478;0.006692851;0
279.2204545;0;294.5121032;0.006692851;0
279.75;0;294.3518577;0.006692851;0
280.3357955;0;294.2099766;0.006692851;0
280.85;0;294.0845385;0.006692851;0
281.0882813;0;293.9626235;0.006692851;0
281.25;0;293.8433373;0.006692851;0
281.5210938;0;293.7349759;0.006692851;0
281.75;0;293.6340552;0.006692851;0
281.6650568;0;293.5280085;0.006692851;0
281.35;0;293.4094237;0.006692851;0
280.9984848;0;293.2865808;0.006692851;0
280.65;0;293.1636412;0.006692851;0
280.3583333;0.002054624;293.0448012;0.018475018;0
280.15;0.039556278;293.0277382;0.999999618;1175.063773
280.1928571;0.077087975;293.0258324;1;1251.219395
280.25;0.114433531;293.0253072;1;1327.862587
280.1015873;0.151867624;293.0281353;1;1404.309163
279.95;0.188285616;293.0404616;1;1479.028794
279.8274306;0.220530837;293.0647915;1;1545.84849
279.75;0.244876885;293.1016433;1;1597.173561
279.8648438;0.257541314;293.1514285;1;1626.412279
280.05;0.254623488;293.2098825;1;1623.932787
280.1015625;0.233736033;293.1996112;1;1581.767926
280.05;0.219366256;293.2247866;1;1551.744293
279.5065717;0.895671514;293.3210039;1;3017.1285
278.95;1;293.5367058;1;3270.67431
278.9462185;1;293.8143774;1;3305.382845
279.15;1;294.1191471;1;3342.139873
279.5964286;1;294.436918;1;3385.075501
279.95;1;294.75265;1;3423.618213
279.95;1;295.05029;1;3445.708502
279.95;1;295.3323717;1;3464.834895
280.05;0.931184398;295.6033782;1;3314.495089
280.15;0.7816206;295.8383359;1;2953.095134
280.25;0.563371934;296.0076048;1;2420.005613
280.35;0.297627051;296.1227689;1;1782.292925
280.625;3.82E-05;296.2186982;0.006821033;0
280.85;0;296.2366459;0.006692851;0
280.85;0;296.2313861;0.006692851;0
280.85;0;296.2170477;0.006692851;0
280.85;0;296.1572048;0.006692851;0
280.85;0;296.0132579;0.006692851;0
280.6338235;0;295.6502789;0.006692851;0
280.25;0;295.3170854;0.006692851;0
279.7745098;0;295.0422196;0.006692851;0
279.45;0;294.7987991;0.006692851;0
279.5578829;0;294.5942513;0.006692851;0
279.75;0;294.4182232;0.006692851;0
279.8680695;0;294.3227371;0.006692851;0
279.95;0;294.1874978;0.006692851;0
278.7587698;0;294.025298;0.006692851;0
277.55;0;293.8240958;0.006692851;0
278.035603;0;293.6871148;0.006692851;0
278.55;0;293.5879508;0.006692851;0
278.6296748;0;293.4802694;0.006692851;0
278.55;0;293.3658995;0.006692851;0
278.1805556;0;293.2416422;0.006692851;0
277.85;0;293.1139393;0.006692851;0
277.7517361;0.017203352;293.1000332;0.973446363;1128.137505
277.65;0.03288869;293.075971;0.99998929;1158.194577
277.421875;0.05630051;293.0238348;1;1202.857075
277.25;0.096756892;292.9729229;1;1280.263878
277.2;0.152425614;292.9428947;1;1387.892027
277.15;0.2160586;292.9375254;1;1512.283745
277.1;0.28006944;292.9553832;1;1639.310795
277.05;0.337561608;292.9931992;1;1755.563757
277.10625;0.382711041;293.054315;1;1850.409106
277.15;0.408360765;293.1325031;1;1907.281368
276.9633929;0.409700426;293.2072245;1;1911.403163
276.75;0.388796997;293.2682409;1;1868.87367
276.6511905;0.350273892;293.3150806;1;1791.262133
276.55;0.29840773;293.3412877;1;1686.071945
276.35;0.939711073;293.4239417;1;3023.628057
276.15;1;293.6125949;1;3178.422791
276.1033333;1;293.8407916;1;3203.724902
276.15;1;294.1006336;1;3227.664246
276.2675;1;294.4313959;1;3251.804049
276.55;1;294.8528124;1;3281.734111
277.2694444;1;295.4135457;1;3329.749751
278.05;0.892899621;295.8900048;1;3128.954427
278.5263889;0.647075223;296.1496431;1;2570.448737
278.75;0.334200395;296.2458946;1;1845.834063
278.75;0.000619446;296.1801433;0.009100561;0
278.75;0;296.1152378;0.006692851;0
278.75;0;296.2790125;0.006692851;0
278.75;0;296.2509272;0.006692851;0
278.88125;0;295.8828557;0.006692851;0
279.05;0;295.5841433;0.006692851;0
279.11875;0;295.3618441;0.006692851;0
279.15;0;295.1646298;0.006692851;0
279.15;0.005471761;294.9281266;0.094138485;0
279.15;0.083858945;294.8077449;1;1268.565899
279.15;0;294.6944496;0.006692851;0
279.15;0;294.5412922;0.006692851;0
279;0;294.3788991;0.006692851;0
278.85;0;294.2131309;0.006692851;0
278.85;0;294.0603856;0.006692851;0
278.85;0;293.9183786;0.006692851;0
278.85;0;293.7850082;0.006692851;0
278.85;0;293.6602059;0.006692851;0
278.9;0;293.5421165;0.006692851;0
278.95;0;293.427549;0.006692851;0
278.9175;0;293.3124578;0.006692851;0
278.85;0;293.1967903;0.006692851;0
278.745;0;293.0845508;0.006692851;0
278.65;0.025246743;293.0325345;0.999511348;1144.159709
278.6875;0.063087197;293.001839;1;1218.365228
278.75;0.109070272;292.9825789;1;1309.439422
278.7275;0.160259618;292.9781253;1;1411.585032
278.65;0.21204472;292.9917226;1;1515.821371
278.4638462;0.258848089;293.0219828;1;1610.284736
278.25;0.295740244;293.0653657;1;1685.129904
278.1242788;0.318961387;293.1205017;1;1733.641711
278.15;0.32505408;293.1851059;1;1749.104846
278.4737981;0.311292113;293.2549864;1;1726.966948
279.05;0.276302179;293.3280246;1;1662.556085
279.7489698;0.219242895;293.3973736;1;1550.760228
280.45;0.141563358;293.4483888;1;1392.155587
281.1366071;0.049495948;293.4665133;0.999999997;1199.564659
281.55;0;293.4260589;0.006692851;0
281.65;0;293.3325419;0.006692851;0
281.75;0;293.2220222;0.006692851;0
281.875;0;293.11255;0.006692851;0
281.95;0.016708619;293.0466317;0.966245673;1129.957137
281.875;0.051015033;293.0067341;0.999999999;1201.995284
281.75;0.095989686;292.9863275;1;1296.381214
281.65;0.146111749;292.993567;1;1402.122202
281.55;0.192679681;293.0278271;1;1501.165799
281.8134615;0.227618551;293.0958859;1;1579.711086
282.25;0.240449855;293.1983265;1;1614.047334
282.4915385;0.220829875;293.300443;1;1575.39765
282.65;0.170591137;293.3859519;1;1467.415831
282.6557143;0.095530117;293.4346589;1;1302.979263
282.65;0.007697104;293.4358973;0.240224699;1111.489355
282.7580357;0;293.3810345;0.006692851;0
282.85;0;293.2927444;0.006692851;0
282.8294643;0;293.1965897;0.006692851;0
282.75;0;293.0999888;0.006692851;0
282.5809524;0.019833404;293.0121017;0.992729997;1136.986531
282.45;0.065597233;292.9517666;1;1234.089367
